category,name,description,status,price_ars,price_cents,source_page,raw_line
AZÚCARES,CORAL AZÚCAR DE MASCABO CORAL - BOLSA 500 gr,,consultar,,,1,CORAL AZÚCAR DE MASCABO CORAL - BOLSA 500 gr consultar
AZÚCARES,DEWEY AZúCAR RUBIO DEWEY - BOLSA 1 KG,,priced,2700.0,270000,1,"DEWEY AZúCAR RUBIO DEWEY - BOLSA 1 KG $2.700,00"
AZÚCARES,DEWEY AZúCAR NEGRA DEWEY - BOLSA 1 KG,,priced,2400.0,240000,1,"DEWEY AZúCAR NEGRA DEWEY - BOLSA 1 KG $2.400,00"
AZÚCARES,DEWEY AZÚCAR IMPALPABLE HOLRAY - BOLSA 10 KG,,priced,16500.0,1650000,1,"DEWEY AZÚCAR IMPALPABLE HOLRAY - BOLSA 10 KG $16.500,00"
AZÚCARES,DEWEY AZúCAR NEGRA DEWEY - BOLSA 10 KG,,priced,16500.0,1650000,1,"DEWEY AZúCAR NEGRA DEWEY - BOLSA 10 KG $16.500,00"
AZÚCARES,DEWEY AZúCAR IMPALPABLE TALCO - BOLSA 1 KG,,priced,3400.0,340000,1,"DEWEY AZúCAR IMPALPABLE TALCO - BOLSA 1 KG $3.400,00"
AZÚCARES,DEWEY AZÚCAR IMPALPABLE TAMIZADA - BOLSA 1 KG,,no_price,,,1,DEWEY AZÚCAR IMPALPABLE TAMIZADA - BOLSA 1 KG -
AZÚCARES,DEWEY AZúCAR NEGRA DEWEY - BOLSA 1 KB,,priced,12000.0,1200000,1,"DEWEY AZúCAR NEGRA DEWEY - BOLSA 1 KB $12.000,00"
AZÚCARES,EMETH AZÚCAR IMPALPABLE EMETH - BOLSA 10 KG,,priced,13400.0,1340000,1,"EMETH AZÚCAR IMPALPABLE EMETH - BOLSA 10 KG $13.400,00"
AZÚCARES,EMETH AZúCAR NEGRA EMETH - BOLSA 10 KG,,sin_stock,,,1,EMETH AZúCAR NEGRA EMETH - BOLSA 10 KG SIN STOCK
AZÚCARES,FUSAZ AZÚCAR IMPALPABLE FUGAZ - BOLSA 10 KG,,priced,12500.0,1250000,1,"FUSAZ AZÚCAR IMPALPABLE FUGAZ - BOLSA 10 KG $12.500,00"
AZÚCARES,FUSAZ AZÚCAR NEGRA FUGAZ - BOLSA 10 KG,,priced,12500.0,1250000,1,"FUSAZ AZÚCAR NEGRA FUGAZ - BOLSA 10 KG $12.500,00"
AZÚCARES,FUSAZ AZÚCAR FUGAZ - BOLSA 10 KG,,priced,8500.0,850000,1,"FUSAZ AZÚCAR FUGAZ - BOLSA 10 KG $8.500,00"
AZÚCARES,LEDESMA AZúCAR LEDESMA - BOLSA 25 KG,,priced,36000.0,3600000,1,"LEDESMA AZúCAR LEDESMA - BOLSA 25 KG $36.000,00"
AZÚCARES,TAXONERA AZÚCAR GRANULADO TAXONERA - CAJA 5 KG,,no_price,,,1,TAXONERA AZÚCAR GRANULADO TAXONERA - CAJA 5 KG -
PULPAS Y JALEAS,DÁNICA DANASWEET - BALDE 14 KG,,sin_stock,,,1,DÁNICA DANASWEET - BALDE 14 KG SIN STOCK
PULPAS Y JALEAS,EMETH PULPA EMETH SABOR DAMASCO - BALDE 10 KG,,priced,16500.0,1650000,1,"EMETH PULPA EMETH SABOR DAMASCO - BALDE 10 KG $16.500,00"
PULPAS Y JALEAS,GEL BRIX JALEA EN FRI0 GELBRIX FRUTILLA - BALDE 4.4 KG,,sin_stock,,,1,GEL BRIX JALEA EN FRI0 GELBRIX FRUTILLA - BALDE 4.4 KG SIN STOCK
PULPAS Y JALEAS,GHELCO JALEFIX 710/1 NEUTRO - LATA 5 KG,,priced,26600.0,2660000,1,"GHELCO JALEFIX 710/1 NEUTRO - LATA 5 KG $26.600,00"
PULPAS Y JALEAS,GHELCO JALEFIX 711/1 FRUTILLA - LATA 5 KG,,sin_stock,,,1,GHELCO JALEFIX 711/1 FRUTILLA - LATA 5 KG SIN STOCK
PULPAS Y JALEAS,LEDEVIT GEL DE BRILLO LEDEVIT FRUTILLA - BALDE 4.4 KS,,priced,24000.0,2400000,1,"LEDEVIT GEL DE BRILLO LEDEVIT FRUTILLA - BALDE 4.4 KS $24.000,00"
PULPAS Y JALEAS,LEDEVIT GEL DE BRILLO LEDEVIT NEUTRO - BALDE 4.4 KG,,priced,25000.0,2500000,1,"LEDEVIT GEL DE BRILLO LEDEVIT NEUTRO - BALDE 4.4 KG $25.000,00"
PULPAS Y JALEAS,LEDEVIT GEL DE BRILLO LEDEVIT NEUTRO - POTE 310 G,,no_price,,,1,LEDEVIT GEL DE BRILLO LEDEVIT NEUTRO - POTE 310 G -
PULPAS Y JALEAS,RICHS PULPA RELLENO DE FRUTILLA RICHS - CAJA POUCH (PRECIO MAS IVA),,priced,27500.0,2750000,1,"RICHS PULPA RELLENO DE FRUTILLA RICHS - CAJA POUCH (PRECIO MAS IVA) $27.500,00"
PULPAS Y JALEAS,RICHS PULPA RELLENO DE FRUTOS ROJOS RICHS - CAJA POUCH (PRECIO MAS IVA),,priced,30000.0,3000000,1,"RICHS PULPA RELLENO DE FRUTOS ROJOS RICHS - CAJA POUCH (PRECIO MAS IVA) $30.000,00"
PULPAS Y JALEAS,RICHS PULPA RELLENO DE FRUTOS ROJOS RICHS - POUCH,,priced,8500.0,850000,1,"RICHS PULPA RELLENO DE FRUTOS ROJOS RICHS - POUCH $8.500,00"
PULPAS Y JALEAS,RICHS PULPA RELLENO DE MARACUYÅ RICHS - CAJA POUCH (PRECIO MAS IVA),,priced,27500.0,2750000,1,"RICHS PULPA RELLENO DE MARACUYÅ RICHS - CAJA POUCH (PRECIO MAS IVA) $27.500,00"
PULPAS Y JALEAS,RICHS PULPA RELLENO DE MARACUYÅ RICHS - POUCH,,priced,8500.0,850000,1,"RICHS PULPA RELLENO DE MARACUYÅ RICHS - POUCH $8.500,00"
PULPAS Y JALEAS,TAXONERA PULPALIST - C - BALDE 14 Kg,,priced,48000.0,4800000,1,"TAXONERA PULPALIST - C - BALDE 14 Kg $48.000,00"
PULPAS Y JALEAS,TAXONERA PULPALIST CRISTAL NEUTRO - BALDE 5 KG,,priced,24000.0,2400000,1,"TAXONERA PULPALIST CRISTAL NEUTRO - BALDE 5 KG $24.000,00"
JARABES,DEWEY JARABE DE GLUCOSA DEWEY - BALDE 5.6 KB,,no_price,,,1,DEWEY JARABE DE GLUCOSA DEWEY - BALDE 5.6 KB -
JARABES,DEWEY JARABE DE GLUCOSA DEWEY - POTE 180 G,,no_price,,,1,DEWEY JARABE DE GLUCOSA DEWEY - POTE 180 G -
JARABES,EMETH JARABE DE GLUCOSA EMETH - BALDE 6 KG,,priced,16700.0,1670000,1,"EMETH JARABE DE GLUCOSA EMETH - BALDE 6 KG $16.700,00"
MIEL Y OTROS ENDULZANTES,EL TALAR MIEL EL TALAR - BALDE 5.5 KG,,priced,23100.0,2310000,1,"EL TALAR MIEL EL TALAR - BALDE 5.5 KG $23.100,00"
MIEL Y OTROS ENDULZANTES,EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 1.25 KG,,priced,5000.0,500000,1,"EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 1.25 KG $5.000,00"
MIEL Y OTROS ENDULZANTES,EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 450 G,,no_price,,,1,EMETH CARAMELO LÍQUIDO EMETH - BOTELLA 450 G -
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑ0 MOLDATTE BLANCO - BOLSA 1 KG,,priced,11900.0,1190000,1,"CHOCOLATE COLONIAL BAÑ0 MOLDATTE BLANCO - BOLSA 1 KG $11.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑ0 MOLDATTE CON LECHE - BOLSA 1 KS,,priced,11900.0,1190000,1,"CHOCOLATE COLONIAL BAÑ0 MOLDATTE CON LECHE - BOLSA 1 KS $11.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑ0 MOLDATTE SEMIAMARGO - BOLSA 1 KG,,priced,11900.0,1190000,1,"CHOCOLATE COLONIAL BAÑ0 MOLDATTE SEMIAMARGO - BOLSA 1 KG $11.900,00"
BAÑO DE MOLDEO,CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO - BOLSA 500 G,,priced,3900.0,390000,1,"CHOCOLATE COLONIAL BAÑO MOLDATTE SEMIAMARGO - BOLSA 500 G $3.900,00"
